id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1348618983239544832,1348618983239544832,2021-01-11 19:13:16 Bangladesh Standard Time,2021-01-11,19:13:16,+0600,582139491,slboekbinder,Sloane-Boekbinder,,Resigning from this Death Star as it begins to explode  https://t.co/UW6tBwd7ky via @The Total Report  #InsurrectionAct #Capitol #CapitolBuilding #CapitalHill #CapitolRiot in the #usacapitol and all the other #CapitolRiots that happened all over the #USA last week,en,"[{'screen_name': 'the', 'name': 'тајлер', 'id': '25668422'}]",['https://www.thetotalreport.com/politics/i-see-no-choice-but-to-resign-from-this-death-star-as-it-begins-to-explode/'],[],0,0,0,"['insurrectionact', 'capitol', 'capitolbuilding', 'capitalhill', 'capitolriot', 'usacapitol', 'capitolriots', 'usa']",[],https://twitter.com/SlBoekbinder/status/1348618983239544832,False,,0,,,,,,,,[],,,,
1348618816037728258,1348354246215917576,2021-01-11 19:12:36 Bangladesh Standard Time,2021-01-11,19:12:36,+0600,1210940903910600704,jennife46529881,Jennifer Gray,,@BeschlossDC She's in hiding she has been shamed and embarrassed by the domestic terrorism that took place in Washington D.C &amp; on Capital Hill She spoke out against the Domestic Terrorist and denounced them I feel for her she was not the one who is responsible for his actions or their actions,en,[],[],[],0,0,0,[],[],https://twitter.com/Jennife46529881/status/1348618816037728258,False,,0,,,,,,,,"[{'screen_name': 'BeschlossDC', 'name': 'Michael Beschloss', 'id': '874916178'}]",,,,
1348618747150524416,1348618747150524416,2021-01-11 19:12:20 Bangladesh Standard Time,2021-01-11,19:12:20,+0600,1037653595469045760,bill2taz14,Bill2Taz14,,"More extreme media control by the Democratic Fascist Party. Nazism is alive and well in Capital Hill. The Democrats have continued their coup. Traitors need to be removed from our government. FB banned me for thirty days, how long before Twitter does.  https://t.co/fKe9j2GRF9",en,[],[],['https://pbs.twimg.com/media/ErdBmI9XEAECvq6.jpg'],0,0,0,[],[],https://twitter.com/Bill2Taz14/status/1348618747150524416,False,,1,https://pbs.twimg.com/media/ErdBmI9XEAECvq6.jpg,,,,,,,[],,,,
1348618523535355904,1348618523535355904,2021-01-11 19:11:26 Bangladesh Standard Time,2021-01-11,19:11:26,+0600,451205409,pad4truth,THE BATCHELOR PAD,,"The Batchelor News Radio Network is now playing ""The Batchelor News Radio Show discussing Trump supporters staging a coup at Capital Hill""! Check it out!  https://t.co/hoNwn2gkOc. by going to the Batchelor News Radio Show Page  https://t.co/TN01tjpSIY",en,[],"['https://lnkd.in/dvFDGPX', 'https://lnkd.in/dANU6uf']",[],0,0,0,[],[],https://twitter.com/pad4truth/status/1348618523535355904,False,,0,,,,,,,,[],,,,
1348618408800243712,1348618408800243712,2021-01-11 19:10:59 Bangladesh Standard Time,2021-01-11,19:10:59,+0600,2217633366,vickieohio,Country Above Party,,This. On Parler. We need to secure the #Inauguration2021 They're planning to do it again. @FBI @DOJPH @JoeBiden #CapitalHill  https://t.co/jsKOwsgPCN,en,"[{'screen_name': 'fbi', 'name': 'fbi', 'id': '17629860'}, {'screen_name': 'dojph', 'name': 'department of justice (doj)', 'id': '485403686'}, {'screen_name': 'joebiden', 'name': 'joe biden', 'id': '939091'}]",['https://video.parler.com/D2/fo/D2fovQB1v4M2_small.mp4?fbclid=IwAR2TzSn_ghSuq2ELRPoGcfna6MlkHfg8hj4UTuUBWZfHQeC5Yr0OMchIS5U'],[],0,0,0,"['inauguration2021', 'capitalhill']",[],https://twitter.com/vickieohio/status/1348618408800243712,False,,0,,,,,,,,[],,,,
1348618357990449155,1348618357990449155,2021-01-11 19:10:47 Bangladesh Standard Time,2021-01-11,19:10:47,+0600,895655600125816832,dilbybeer,Dylan Kent Edwards,,Neoliberal Democrat passing legislation a Republican from the 90s would support = COMMUNIST! RADICAL! Literal Nazi in a Camp Auschwitz shirt = good people. We love you. You’re Special. #antisemitism #CapitolBuilding #CapitalHill #CoupAttempt #TrumpCult #Trump,en,[],[],[],0,1,1,"['antisemitism', 'capitolbuilding', 'capitalhill', 'coupattempt', 'trumpcult', 'trump']",[],https://twitter.com/Dilbybeer/status/1348618357990449155,False,,0,,,,,,,,[],,,,
1348618201962319872,1348618201962319872,2021-01-11 19:10:10 Bangladesh Standard Time,2021-01-11,19:10:10,+0600,843177800190181376,dbender22,Rose Daya,,"NEVER TAKE THE BAIT PEOPLE. These are a bunch of drug addicted LOSERS. They're trying to provoke us. This is their ""job"". Remember: they are getting paid for this. IGNORE THEM. #KAG #MAGA #CapitalHill #ASHLEYBABBIT #BlueLivesMatter #StopTheSteaI2021 #BlackVoicesForTrump",en,[],[],[],1,0,0,"['kag', 'maga', 'capitalhill', 'ashleybabbit', 'bluelivesmatter', 'stopthesteai2021', 'blackvoicesfortrump']",[],https://twitter.com/Dbender22/status/1348618201962319872,False,https://twitter.com/MrAndyNgo/status/1348422224529788929,0,,,,,,,,[],,,,
1348618007166283777,1348618007166283777,2021-01-11 19:09:23 Bangladesh Standard Time,2021-01-11,19:09:23,+0600,3092507175,lnyousif,Laith Yousif ليث يوسف,,Now America understand that what Iraqi looting after 2003 was simply Iraqis Making Iraq Great Again #America #CapitalHill,en,[],[],[],0,0,0,"['america', 'capitalhill']",[],https://twitter.com/lnyousif/status/1348618007166283777,False,,0,,,,,,,,[],,,,
1348617991563472896,1347269035977805827,2021-01-11 19:09:19 Bangladesh Standard Time,2021-01-11,19:09:19,+0600,1096295882562117633,linda50068703,Linda,,@thehill @tedcruz Why didn't they ask to have her removed when they cities were being destroyed and she said it was justifiable.  Where is it not right for Ted Cruz to speak up.  He didn't ask for the riot on capital hill.  Democrats are asking for trouble and need to be removed from office.,en,[],[],[],0,0,0,[],[],https://twitter.com/Linda50068703/status/1348617991563472896,False,,0,,,,,,,,"[{'screen_name': 'thehill', 'name': 'The Hill', 'id': '1917731'}, {'screen_name': 'tedcruz', 'name': 'Ted Cruz', 'id': '23022687'}]",,,,
1348617829394870272,1348617829394870272,2021-01-11 19:08:41 Bangladesh Standard Time,2021-01-11,19:08:41,+0600,50479038,sandralester,KayL,,Trump orders flags to half-staff in wake of Capitol Hill riot  https://t.co/Dw4frceeSg.  This of course is a lie. This was ONLY DONE &amp; probably not by Trump when the left wing media brought up the fact the Capital was flying our flag at half staff but NOT THE WHITE-HOUSE!,en,[],['https://washex.am/3bpXfV9'],[],0,0,0,[],[],https://twitter.com/sandralester/status/1348617829394870272,False,,0,,,,,,,,[],,,,
